"no";"nama";"asma";"arti";"tipe";"ayat";"ayat_start";"halaman"
"78";"An Naba'";"النبإ";"Berita Besar";"mekah";"40";"5672";"582-583"
"79";"An Naazi'at";"النازعات";"Malaikat-Malaikat yang Mencabut";"mekah";"46";"5712";"583-584"
"80";"'Abasa";"عبس";"Ia Bermuka Masam";"mekah";"42";"5758";"585-585"
"81";"At Takwiir";"التكوير";"Menggulung";"mekah";"29";"5800";"586-586"
"82";"Al Infithar";"الإنفطار";"Terbelah";"mekah";"19";"5829";"587-587"
"83";"Al Muthaffifin";"المطففين";"Kecurangan";"mekah";"36";"5848";"587-589"
"84";"Al Insyiqaq";"الإنشقاق";"Terbelah";"mekah";"25";"5884";"589-589"
"85";"Al Buruuj";"البروج";"Gugusan Bintang";"mekah";"22";"5909";"590-590"
"86";"Ath Thariq";"الطارق";"Yang Datang di Malam Hari";"mekah";"17";"5931";"591-591"
"87";"Al A'laa";"الأعلى";"Yang Paling Tinggi";"mekah";"19";"5948";"591-592"
"88";"Al Ghaasyiah";"الغاشية";"Hari Pembalasan";"mekah";"26";"5967";"592-592"
"89";"Al Fajr";"الفجر";"Fajar";"mekah";"30";"5993";"593-594"
"90";"Al Balad";"البلد";"Negeri";"mekah";"20";"6023";"594-594"
"91";"Asy Syams";"الشمس";"Matahari";"mekah";"15";"6043";"595-595"
"92";"Al Lail";"الليل";"Malam";"mekah";"21";"6058";"595-596"
"93";"Adh Dhuhaa";"الضحى";"Waktu Dhuha";"mekah";"11";"6079";"596-596"
"94";"Asy Syarh";"الشرح";"Kelapangan";"mekah";"8";"6090";"596-596"
"95";"At Tiin";"التين";"Buah Tin";"mekah";"8";"6098";"597-597"
"96";"Al 'Alaq";"العلق";"Segumpal Darah";"mekah";"19";"6106";"597-597"
"97";"Al Qadr";"القدر";"Kemuliaan";"mekah";"5";"6125";"598-598"
"98";"Al Bayyinah";"البينة";"Bukti yang Nyata";"madinah";"8";"6130";"598-599"
"99";"Az Zalzalah";"الزلزلة";"Keguncangan";"madinah";"8";"6138";"599-599"
"100";"Al 'Aadiyah";"العاديات";"Kuda Perang yang Berlari Kencang";"mekah";"11";"6146";"599-600"
"101";"Al Qaari'ah";"القارعة";"Hari Kiamat";"mekah";"11";"6157";"600-600"
